"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha1",0.0224158410470407,0.045,1.389,0.93,0.022,0.3544,1266.764,-0.651363756830853,0.737230576530189,0.0441768144714764
"alpha10",0.0451821469954552,-0.018,1.402,0.98,-0.063,0.3584,1244.287,-0.724156744336612,0.678023364239913,-0.0196107723274035
"alpha100",-0.00255440592553072,-0.004,0.982,0.97,-0.001,0.2508,1364.97,-0.49475819525591,0.487457473514285,-0.00374060221957561
"alpha101",0.00169912759608762,0.009,0.987,0.94,0.007,0.252,1352.873,-0.484939704040147,0.502468172508618,0.00877647376216867
"alpha102",0.00870204606618387,-0.011,0.991,0.95,-0.019,0.2528,1349.763,-0.505225088770328,0.485448156041304,-0.00993040243006311
"alpha103",0.0314394696102352,0.042,0.979,0.98,0.01,0.2502,1351.684,-0.446958365250871,0.531554907573909,0.042217966559113
"alpha104",-0.0410303143790348,-0.006,0.983,0.94,0.035,0.2508,1357.277,-0.495979438842013,0.486813846958615,-0.00644382401321177
"alpha105",0.0692800505134037,0.037,0.979,0.95,-0.032,0.2498,1388.074,-0.45334986091376,0.525796784677754,0.0369509693456917
"alpha106",-0.00750418734553812,-0.029,0.977,0.97,-0.022,0.2494,1359.033,-0.519743154457335,0.456849576478073,-0.0297096388145288
"alpha107",0.01332758131758,0.02,0.987,0.98,0.006,0.2518,1372.644,-0.473930591121856,0.512623384977787,0.0199824975908985
"alpha108",-0.0348039327705882,-0.046,0.987,0.96,-0.011,0.2525,1320.56,-0.541591981322312,0.445614391510536,-0.0464194919053646
"alpha109",0.0121595598948677,0.004,0.98,0.98,-0.008,0.2506,1378.77,-0.482971965155159,0.497499548949498,0.00486166073723321
"alpha11",0.0660074485696018,0.064,1.405,0.94,-0.002,0.3567,1225.39,-0.637547493998005,0.767574333832835,0.0634239690526679
"alpha110",0.0441649891965844,0.03,0.985,0.92,-0.015,0.2516,1338.008,-0.462827592156382,0.521854773478173,0.0298319633574698
"alpha111",-0.0271376978519978,-0.021,0.991,0.96,0.006,0.2524,1333.596,-0.515684191429383,0.474954381978829,-0.0215090852792257
"alpha112",-0.0624159142435197,-0.025,0.981,0.95,0.037,0.2506,1367.267,-0.515894671373681,0.464636140400376,-0.0256611705514503
"alpha113",0.0177237303043514,-0.018,0.984,0.95,-0.036,0.2514,1320.258,-0.509445812261946,0.474864889760238,-0.0176059787318191
"alpha114",-0.018647570969444,-0.013,0.991,0.97,0.006,0.2534,1285.418,-0.509580160949267,0.481610310167587,-0.0135093010582494
"alpha115",-0.0363752963060735,-0.037,0.979,0.95,0,0.2499,1382.777,-0.526204241198621,0.453143647656605,-0.0367387578368964
"alpha116",-0.0373918988930258,-0.032,0.985,0.94,0.005,0.2514,1331.147,-0.524579339595837,0.460644747775342,-0.032126987812057
"alpha117",-0.0605018789456851,-0.064,0.987,0.91,-0.004,0.252,1332.467,-0.556694879499406,0.43061005756605,-0.064522124819546
"alpha118",-0.0115222056760233,-0.013,0.983,0.95,-0.001,0.2511,1338.36,-0.502620872471249,0.480352536188436,-0.0128256314472093
"alpha119",0.0140948211072927,0.048,0.977,0.91,0.034,0.2497,1323.804,-0.441477858547067,0.53598134724964,0.0481145206313892
"alpha12",-0.0646013779463729,-0.006,1.396,0.96,0.058,0.3557,1263.607,-0.710510823121981,0.685657654276469,-0.00802675260180687
"alpha120",-0.0333255952477289,-0.018,0.99,0.91,0.015,0.2529,1334.554,-0.51222243851089,0.477347137271936,-0.0181960338414904
"alpha121",0.0442615828633278,0.009,0.979,0.92,-0.035,0.2502,1329.483,-0.478896986694335,0.500162937269603,0.00966684642881905
"alpha122",0.0153312462310165,0.008,0.986,0.91,-0.008,0.2513,1370.859,-0.484002221535646,0.501800132160011,0.00787097321817709
