"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha1",0.0224158410470407,0.065,1.302,0.9,0.042,0.3317,972.912,-0.585963910516218,0.715855061110222,0.0651812074695482
"alpha10",0.0451821469954552,-0.021,1.322,0.94,-0.066,0.3367,954.037,-0.688035543814458,0.633819950937753,-0.0228098976705617
"alpha100",-0.00255440592553072,-0.016,0.818,0.93,-0.013,0.209,1244.108,-0.424848299503699,0.392741116132559,-0.0153983853602744
"alpha101",0.00169912759608762,0.01,0.819,0.9,0.008,0.2096,1218.725,-0.399642719691122,0.419274029665549,0.0101997609087433
"alpha102",0.00870204606618387,-0.023,0.818,0.88,-0.032,0.2085,1238.728,-0.430266117299494,0.387433198261151,-0.0225653324462663
"alpha103",0.0314394696102352,0.054,0.809,0.89,0.023,0.2064,1234.423,-0.349035694449281,0.459730040265476,0.0540767367491714
"alpha104",-0.0410303143790348,0.004,0.809,0.87,0.045,0.2072,1226.039,-0.400179689816425,0.408672605599999,0.00376577894370578
"alpha105",0.0692800505134037,0.049,0.81,0.91,-0.02,0.207,1202.35,-0.355334167354997,0.454358289708285,0.0491669684739685
"alpha106",-0.00750418734553812,-0.035,0.812,0.9,-0.028,0.2071,1190.776,-0.440895760524655,0.370962304259522,-0.0350162975849432
"alpha107",0.01332758131758,0.037,0.819,0.88,0.024,0.2092,1233.342,-0.372423570733512,0.44684136848066,0.0370203806019741
"alpha108",-0.0348039327705882,-0.068,0.81,0.85,-0.033,0.2072,1210.417,-0.47246364108236,0.337630672493415,-0.0677632593828809
"alpha109",0.0121595598948677,0.005,0.82,0.91,-0.007,0.2097,1181.845,-0.402864995235694,0.417064373875213,0.00592503626579738
"alpha11",0.0660074485696018,0.077,1.307,0.94,0.011,0.3332,948.326,-0.582208174052802,0.7251910070984,0.0746048916783574
"alpha110",0.0441649891965844,0.034,0.812,0.82,-0.01,0.2073,1195.955,-0.370461122923387,0.441461331295755,0.0345102635299074
"alpha111",-0.0271376978519978,-0.033,0.812,0.91,-0.006,0.2083,1239.788,-0.439845447794545,0.372476495631809,-0.0330515942647109
"alpha112",-0.0624159142435197,-0.035,0.811,0.82,0.027,0.2073,1244.765,-0.442427670641804,0.368627122621348,-0.0359665245353064
"alpha113",0.0177237303043514,-0.026,0.82,0.87,-0.044,0.2094,1227.649,-0.43615989382486,0.383546760287442,-0.0264215550592812
