"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha1",0.0224158410470407,0.043,1.437,0.96,0.021,0.3659,1167.315,-0.675585694019436,0.7609820385364,0.0432636026208686
"alpha10",0.0451821469954552,-0.016,1.447,0.96,-0.061,0.3681,1111.899,-0.743021680509454,0.704127603502909,-0.0171311538093383
"alpha100",-0.00255440592553072,0.001,0.991,0.97,0.004,0.2524,1270.845,-0.495678319578172,0.494847039524573,0.000409666685059742
"alpha101",0.00169912759608762,0.012,0.991,0.94,0.01,0.2529,1266.746,-0.485671950085728,0.505126190585382,0.0105454101850752
"alpha102",0.00870204606618387,-0.014,0.993,0.94,-0.022,0.2542,1256.773,-0.510121398460494,0.48291598811794,-0.013950296620211
"alpha103",0.0314394696102352,0.041,0.986,0.97,0.009,0.2521,1265.915,-0.453270699652705,0.532691320810357,0.0395808035856593
"alpha104",-0.0410303143790348,0.006,0.995,0.94,0.047,0.2536,1266.228,-0.491127367109748,0.503578729778255,0.00607303672763182
"alpha105",0.0692800505134037,0.031,0.987,0.95,-0.038,0.252,1270.781,-0.46171015681967,0.525097741334519,0.0310419391539859
"alpha106",-0.00750418734553812,-0.026,0.983,0.96,-0.019,0.2517,1294.032,-0.518921315947801,0.463590551017735,-0.0264965164674665
"alpha107",0.01332758131758,0.021,0.983,0.96,0.007,0.2519,1317.481,-0.468411406282935,0.514775677992371,0.0212197833945312
"alpha108",-0.0348039327705882,-0.049,0.995,0.96,-0.014,0.2533,1256.331,-0.545953383253198,0.448643152576991,-0.049092329196271
"alpha109",0.0121595598948677,0.006,0.989,0.98,-0.006,0.2529,1288.949,-0.48616244195842,0.502922205930484,0.00656795610669647
"alpha11",0.0660074485696018,0.051,1.438,0.94,-0.015,0.3659,1104.108,-0.669630977895021,0.768016263086719,0.050338382221473
"alpha110",0.0441649891965844,0.023,0.99,0.93,-0.022,0.2527,1231.998,-0.473674278772932,0.515972911488989,0.0229181907525405
"alpha111",-0.0271376978519978,-0.017,0.999,0.96,0.01,0.2546,1250.769,-0.517769069371406,0.480851334259041,-0.0184469617251554
"alpha112",-0.0624159142435197,-0.036,0.984,0.94,0.026,0.2515,1285.666,-0.529339807876839,0.454816944086023,-0.03668152392165
"alpha113",0.0177237303043514,-0.018,0.997,0.97,-0.035,0.2544,1274.444,-0.517404543921235,0.479360128191217,-0.018451524623208
"alpha114",-0.018647570969444,-0.021,1,0.96,-0.002,0.2552,1217.825,-0.519356537677558,0.480332271476783,-0.0201110528334109
"alpha115",-0.0363752963060735,-0.033,0.983,0.96,0.003,0.2512,1344.403,-0.522954219950932,0.459765657905894,-0.0329843373439654
"alpha116",-0.0373918988930258,-0.034,0.993,0.94,0.003,0.2537,1244.879,-0.531803852684084,0.46119321236551,-0.0352570111255564
"alpha117",-0.0605018789456851,-0.068,0.99,0.9,-0.008,0.2525,1278.716,-0.562390858338152,0.427735382892281,-0.0681328775768517
"alpha118",-0.0115222056760233,-0.015,0.99,0.96,-0.004,0.2529,1274.075,-0.508099281306105,0.481529969669585,-0.0152034473369035
"alpha119",0.0140948211072927,0.046,0.985,0.91,0.032,0.2512,1261.35,-0.445578125991097,0.539633288001457,0.0459860766637364
"alpha12",-0.0646013779463729,-0.006,1.449,0.97,0.058,0.368,1093.822,-0.739599976231014,0.709250682755991,-0.00807648767541055
"alpha120",-0.0333255952477289,-0.013,0.999,0.91,0.02,0.255,1227.088,-0.515950007993888,0.483152543262063,-0.0136810836329437
"alpha121",0.0442615828633278,0.014,0.99,0.95,-0.03,0.2515,1289.342,-0.48003548582712,0.509810585163889,0.0147302374906187
"alpha122",0.0153312462310165,0.003,0.991,0.96,-0.012,0.2529,1299.905,-0.489510343609281,0.501237620925276,0.00409727692968625
"alpha123",0.0559400298946288,-0.002,0.993,0.89,-0.058,0.2536,1251.134,-0.497967633840342,0.494826101800802,-0.00171074875358266
"alpha124",-0.0244942508666603,-0.024,0.989,0.93,0,0.252,1291.316,-0.518094964824239,0.470842930635795,-0.0247165590303037
"alpha125",-0.0648375146653215,-0.045,0.992,0.98,0.02,0.2525,1276.4,-0.540624224122092,0.450967087426023,-0.0448902772173604
"alpha126",0.00856149713317872,0.007,0.989,0.93,-0.001,0.2524,1255.757,-0.486052414575878,0.502708579370002,0.0078793119508395
"alpha127",0.0643329429609495,0.019,0.99,0.9,-0.045,0.2523,1263.059,-0.476307766302588,0.514118581920382,0.0189973122135606
"alpha128",0.0465841069633936,0.075,0.995,0.98,0.029,0.2533,1265.591,-0.421421525613122,0.57364551951209,0.0753861935033226
"alpha129",-0.0574405062197313,-0.049,0.983,0.98,0.009,0.2515,1296.252,-0.541324649209378,0.44188858616442,-0.0490101940045865
"alpha13",-0.00476820632870194,0.003,1.438,0.98,0.008,0.365,1161.824,-0.718483235710522,0.71968709897205,0.00295979292711599
"alpha130",-0.00409747133156139,-0.007,0.993,0.94,-0.002,0.2538,1270.826,-0.500930528336557,0.492172282752139,-0.00626840419131299
"alpha131",0.00703019449010982,0.007,0.987,0.94,0,0.2523,1293.654,-0.487139686637142,0.500245293304097,0.0069007951258622
"alpha132",-0.0278175732811394,0.019,0.991,0.96,0.047,0.253,1306.111,-0.477782390657434,0.513179534242697,0.0190600823412237
"alpha133",0.126316607140879,0.112,0.986,0.94,-0.014,0.2526,1224.414,-0.380525865694115,0.605595871832675,0.112353899896243
"alpha134",0.0578715070888389,0.008,0.983,0.96,-0.05,0.2513,1310.87,-0.483421592833201,0.499439024232918,0.00843344436334715
"alpha135",-0.0809401206862612,-0.055,0.991,0.96,0.026,0.253,1294.46,-0.553232697168654,0.437559783574131,-0.0563280338579117
"alpha136",-0.028387704106559,-0.025,0.989,0.94,0.003,0.2523,1305.316,-0.518846378701941,0.470042457844727,-0.0248996221369302
"alpha137",-0.0459352659927535,-0.033,0.997,0.96,0.013,0.2546,1270.944,-0.533931362310003,0.463271391295221,-0.0330986765899255
"alpha138",-0.0243043490659373,0,0.981,0.93,0.024,0.25,1317.221,-0.490023773595567,0.490817242826673,0.00019367294167142
"alpha139",0.000936725894310755,-0.051,0.993,0.93,-0.052,0.2534,1327.439,-0.549927957537309,0.442843417968614,-0.0519865372340515
"alpha14",-0.000548649550655556,0.048,1.441,0.99,0.048,0.3667,1150.403,-0.679157406980797,0.76179575057046,0.0465863343187426
"alpha140",0.00610002262205086,0.017,0.98,0.95,0.011,0.2504,1312.204,-0.472995662819096,0.507393471361791,0.0171701794509313
"alpha141",-0.017626739193814,-0.002,0.995,0.96,0.016,0.2537,1278.593,-0.498537045333462,0.496032921148062,-0.00158135822860557
"alpha142",-0.00842003056363513,-0.006,0.988,0.93,0.002,0.2523,1248.329,-0.499965048121628,0.488050955544568,-0.00565522661244011
"alpha143",0.0740362792205535,0.064,0.991,0.91,-0.01,0.2523,1334.562,-0.435047835344379,0.556164740940286,0.0628310555335122
"alpha144",0.0218385082788783,0.038,1.002,0.93,0.016,0.2552,1238.481,-0.46116760052772,0.540556001752845,0.0385834286376368
"alpha145",0.019709302749664,0.011,0.309,0.98,-0.008,0.0787,906.722,-0.143014762957893,0.166275139413389,0.0113089375489068
"alpha146",0.000675145946753632,0.005,0.313,0.95,0.004,0.0798,910.972,-0.151886236052356,0.16094476802602,0.00502111909724943
"alpha147",0.00661148231656889,0.002,0.309,0.98,-0.005,0.0789,893.654,-0.152642975048238,0.156855913488658,0.00182088192502604
"alpha148",0.019775739462998,0.024,0.311,0.97,0.004,0.0794,879.166,-0.130720031369065,0.180216739934765,0.0243136370231488
"alpha149",-0.00325679651139669,-0.002,0.316,0.97,0.002,0.0804,906.457,-0.159811964844467,0.155781464773808,-0.0015676698510294
"alpha15",-0.0205105249530733,-0.085,1.442,0.92,-0.064,0.3661,1160.145,-0.814659693206345,0.627103440068465,-0.0867897766863154
"alpha150",-0.0125326761956324,-0.008,0.321,0.96,0.005,0.082,903.115,-0.168238582435036,0.153207229321583,-0.00761075434299753
"alpha151",-0.0265891313414401,-0.032,0.313,0.98,-0.006,0.08,954.827,-0.188146328367251,0.124970708185583,-0.0319855259618667
"alpha152",-0.016320686014739,-0.036,0.309,0.96,-0.02,0.079,864.854,-0.190331817289487,0.118319917700092,-0.0359826714997202
"alpha153",-0.0326420939446502,-0.022,0.318,0.97,0.011,0.081,919.278,-0.180756394276,0.136944011515442,-0.0218411988139866
"alpha154",-0.00812587698570758,-0.004,0.309,0.97,0.004,0.0791,909.889,-0.158799233304063,0.150356383408001,-0.00392781612215106
"alpha155",-0.00376031478072493,-0.014,0.306,0.99,-0.01,0.0783,903.966,-0.167298454797197,0.138599986347195,-0.0138746464080881
"alpha156",0.00492664541891698,0.016,0.307,0.99,0.011,0.0784,898.85,-0.137515281417672,0.169559494912779,0.0161987538143081
"alpha157",0.0233359135109433,0.023,0.314,0.98,0,0.08,907.53,-0.133233359394797,0.180464246863888,0.0232565593851044
"alpha158",0.0109943845869508,0.005,0.309,0.94,-0.006,0.0787,900.128,-0.14988453945657,0.158763950472598,0.00460973188956711
"alpha159",0.0416472165921092,0.037,0.308,0.98,-0.004,0.0788,861.277,-0.116745486284157,0.191627202451948,0.0373538218247943
"alpha16",-0.0462372921104601,0.003,1.437,0.99,0.049,0.3654,1135.684,-0.717894807308417,0.718663587458167,0.00266929854911116
"alpha160",0.0103081402324592,0.004,0.307,0.95,-0.006,0.0784,885.236,-0.14939786574259,0.157557715454425,0.00415612893506793
"alpha161",0.00118492872536302,0.011,0.319,0.96,0.01,0.0816,902.61,-0.149154809717535,0.170248621397197,0.0109495630680986
"alpha162",0.00327829514384382,0.001,0.311,0.92,-0.002,0.0794,897.138,-0.15439261562232,0.156757518406824,0.000927119759617058
"alpha163",0.00627671291124957,0.001,0.31,0.98,-0.005,0.0792,908.033,-0.154079051880456,0.155889674260887,0.00110429764306033
"alpha164",-0.0147240149865492,-0.018,0.304,0.98,-0.003,0.0775,904.348,-0.170247488592053,0.13378998741261,-0.0180184945555986
"alpha165",-0.0148266313659762,-0.016,0.31,0.96,-0.001,0.0792,920.064,-0.171380205322901,0.138972525904475,-0.01573514193511
"alpha166",0.0065581250770586,0,0.303,0.94,-0.007,0.0774,900.008,-0.151994816123747,0.150652881289614,-0.000551678526088116
"alpha167",-6.49092267029754e-05,-0.005,0.31,0.96,-0.005,0.0792,910.113,-0.160190204645263,0.149852839855576,-0.00558441758489647
"alpha168",-0.0234456030442162,-0.024,0.306,0.96,-0.001,0.0781,888.449,-0.176836558850773,0.129269998106384,-0.0237623403528108
"alpha169",0.0119951349258308,0.01,0.31,0.94,-0.002,0.0791,880.976,-0.144849318822886,0.164935231048425,0.00993428608476225
"alpha17",-0.0222985336126186,-0.013,1.453,0.97,0.01,0.3684,1121.174,-0.746613351463305,0.706079275983125,-0.015129439681777
"alpha170",-0.0270294264928793,-0.024,0.311,0.97,0.003,0.0794,911.288,-0.180114084399058,0.130991634486952,-0.024243380773122
"alpha171",-0.0050673127065294,0.009,0.311,0.96,0.015,0.0796,899.137,-0.145327504192377,0.166164301953128,0.00967062221816454
"alpha172",0.00720480788347947,0.004,0.313,0.93,-0.003,0.0798,860.109,-0.153166071558971,0.160184485559537,0.00364869858528666
"alpha173",0.0372287808415713,0.032,0.311,0.98,-0.005,0.0796,876.29,-0.12303253035494,0.18813444155336,0.0319901816014693
"alpha174",-0.0205501935275954,-0.019,0.303,0.94,0.001,0.0775,877.558,-0.171249308415499,0.132238626414835,-0.0192088135278091
"alpha175",0.00398470425979032,0.015,0.303,0.91,0.011,0.0773,893.186,-0.136441552351868,0.166481693051499,0.0146021151025216
"alpha176",0.0223314178035098,0.01,0.311,0.93,-0.013,0.0795,918.995,-0.146065381887817,0.165228568278441,0.009401990998397
"alpha177",0.0116855526694543,0,0.309,0.97,-0.012,0.079,900.488,-0.154878759558924,0.154025689307407,-0.000472074984535479
"alpha178",-0.00848901362295586,-0.011,0.314,0.93,-0.003,0.0801,908.529,-0.168400270894652,0.145466624295568,-0.0111676657356633
"alpha179",-0.0293168442162087,-0.035,0.306,0.93,-0.005,0.0782,872.088,-0.187239302185599,0.119019419982032,-0.0344033837027755
"alpha18",0.00240477985257128,-0.03,1.452,0.96,-0.032,0.3696,1077.924,-0.766240387081276,0.68625824351143,-0.0326071529765193
"alpha180",0.0356059127419747,0.017,0.309,0.93,-0.019,0.079,860.692,-0.137928766075756,0.170884702412617,0.0165621288820088
